34:49.1,1,No Car,No Car,No Car,No Car,Sedan,No Car,9.73,46.27,68.24,4.23,16.27,31.93,44.3,47.67,0.69,19.2,64.8,43.03,17.98,32.87,-24.29,52.52,56.09,24.11,9.53,5.95,81.31,10.43,20.5,34.56,8.14,-5.3,32.05
34:58.3,1,No Car,No Car,No Car,No Car,Sedan,No Car,10.79,47.7,68.58,5.64,17.33,31.59,43.41,48.21,0.52,17.98,63.22,43.87,16.57,31.8,-25.31,51.81,56.09,22.73,5.75,6.13,82.18,11.51,19.78,33.17,7.96,-5.85,32.92
35:12.3,1,No Car,No Car,No Car,No Car,Sedan,No Car,10.08,48.41,70.63,4.41,16.45,30.4,44.84,48.21,0.86,18.15,65.5,44.04,16.57,32.51,-25.31,51.63,55.91,22.9,5.75,6.86,80.44,11.33,19.24,33,7.42,-5.3,32.05
35:20.3,1,No Car,No Car,No Car,No Car,Sedan,No Car,10.61,47.52,68.75,5.29,15.57,31.93,44.84,47.49,0.86,18.68,64.27,45.55,17.45,32.69,-25.82,51.45,56.09,23.76,6.11,5.77,81.83,10.97,21.04,33,7.42,-4.93,32.4
35:28.4,1,No Car,No Car,No Car,No Car,Sedan,No Car,10.61,48.23,69.09,3.7,16.45,32.1,44.84,47.49,1.21,17.28,63.22,44.55,17.63,32.51,-26.34,51.27,56.63,23.59,7.91,5.05,80.79,10.61,20.32,32.31,7.24,-6.58,32.22
35:36.4,1,No Car,No Car,No Car,No Car,Sedan,No Car,10.08,46.62,68.58,4.76,17.51,32.44,43.59,46.96,-1.04,20.42,66.37,44.55,16.4,31.98,-24.46,50.02,56.81,23.76,6.11,6.49,80.44,9.89,21.76,34.04,7.6,-6.21,31.87
35:46.6,1,No Car,No Car,No Car,No Car,Sedan,No Car,9.91,48.59,68.07,5.29,15.21,29.89,43.23,47.32,1.73,19.02,64.27,43.87,15.51,31.8,-26,51.45,55.38,24.8,7.19,6.86,82.18,12.05,21.04,33.69,7.78,-6.4,31.7
35:55.6,1,No Car,No Car,No Car,No Car,Sedan,No Car,11.67,47.88,67.73,5.11,16.45,30.74,43.77,47.85,0.86,17.8,63.39,45.39,16.4,34.12,-25.14,51.27,56.63,23.59,6.83,5.05,80.44,10.79,20.5,33.52,7.42,-6.4,33.8
36:04.7,1,No Car,No Car,No Car,No Car,Sedan,No Car,10.08,46.98,68.58,4.76,15.39,31.42,43.23,47.67,0.69,20.6,64.8,43.37,17.63,31.8,-24.97,50.91,56.27,24.28,7.37,6.31,81.31,10.79,19.78,32.83,6.7,-6.03,32.75
36:12.6,1,No Car,No Car,No Car,No Car,Sedan,No Car,9.37,48.05,69.95,4.23,16.98,31.93,45.2,46.78,1.21,18.85,64.8,44.04,16.22,30.37,-24.97,50.73,55.02,24.45,6.65,4.15,81.31,10.97,21.04,33.35,6.7,-6.76,32.05
36:38.4,1,No Car,No Car,No Car,No Car,Sedan,No Car,9.37,48.41,68.58,5.47,16.45,31.76,43.59,48.03,0.35,18.68,64.97,44.21,17.81,30.9,-26.51,50.91,56.99,23.94,7.37,4.87,80.62,11.33,21.04,34.38,7.24,-5.85,32.92
38:10.1,2,No Car,No Car,Sedan,No Car,No Car,No Car,9.37,50.2,67.9,5.82,17.51,30.4,43.41,49.29,-0.52,20.77,66.72,43.2,18.16,33.05,-26.51,50.02,56.81,23.42,7.37,7.4,81.31,12.05,21.76,33,5.61,-5.3,32.4
38:20.1,2,No Car,No Car,Sedan,No Car,No Car,No Car,9.73,50.2,68.58,4.05,17.51,31.08,44.66,48.75,1.04,19.37,66.72,43.87,17.28,32.15,-25.65,51.63,57.7,23.59,7.91,8.3,80.44,9.89,21.04,32.31,8.87,-5.3,33.8
38:28.2,2,No Car,No Car,Sedan,No Car,No Car,No Car,8.67,50.2,66.87,3.53,18.4,31.59,42.69,48.93,1.21,18.85,65.85,44.04,16.57,33.23,-25.65,50.73,56.45,22.73,7.73,8.48,79.92,10.97,21.76,34.04,6.88,-4.39,32.92
38:38.2,2,No Car,No Car,Sedan,No Car,No Car,No Car,8.31,50.2,67.9,4.05,17.16,30.4,43.59,47.32,2.07,19.2,66.55,44.38,17.63,32.15,-26.68,50.55,56.99,22.9,7.19,8.3,81.48,12.05,21.4,33,7.06,-4.2,31.7
38:47.2,2,No Car,No Car,Sedan,No Car,No Car,No Car,9.2,49.3,68.75,3.53,18.75,30.91,43.41,48.93,0.17,17.98,66.37,43.54,17.63,33.58,-24.97,51.45,56.45,22.39,7.73,8.48,80.96,10.97,21.04,32.66,8.33,-5.48,31.87
38:55.3,2,No Car,No Car,Sedan,No Car,No Car,No Car,9.73,51.27,68.58,3.88,16.98,31.25,43.59,46.96,0.69,19.9,67.6,42.7,16.92,34.66,-26.34,50.73,56.81,22.39,7.19,7.94,81.83,12.77,20.68,33,8.14,-5.3,32.75
39:03.3,2,No Car,No Car,Sedan,No Car,No Car,No Car,10.26,49.3,68.41,4.05,18.22,30.4,43.59,48.03,1.04,18.85,66.55,44.04,15.69,33.41,-25.82,51.81,57.88,22.73,7.55,8.3,82.18,13.49,21.4,33,7.96,-5.12,33.27
39:11.3,2,No Car,No Car,Sedan,No Car,No Car,No Car,10.26,48.23,67.73,3.53,17.33,28.87,43.59,49.47,1.73,19.55,66.55,45.05,16.75,32.69,-26.51,50.91,56.63,23.25,8.99,8.3,80.44,11.15,23.02,33.52,8.69,-4.39,32.22
