2019-05-01 18:57:37.435605,3,No Car,No Car,No Car,Sedan,No Car,No Car,9.02,28.76,65.84,14.10,-0.71,26.84,56.09,47.67,10.71,28.45,56.57,60.01,22.21,9.29,-12.66,53.95,56.45,33.75,42.79,8.30,94.66,8.09,-5.57,78.96,-1.81,0.37,47.28
2019-05-01 18:57:48.482549,3,No Car,No Car,No Car,Sedan,No Car,No Car,7.78,27.87,66.02,13.05,0.71,24.80,54.66,47.32,11.75,28.97,59.19,60.85,22.92,10.00,-14.02,55.02,57.16,34.09,43.87,10.10,95.70,7.55,-5.39,81.21,-1.63,0.55,48.86
2019-05-01 18:57:59.530420,3,No Car,No Car,No Car,Sedan,No Car,No Car,8.49,28.94,67.73,13.57,-0.88,25.31,56.45,46.96,10.71,28.45,59.72,61.35,22.04,9.11,-14.54,54.13,56.99,35.30,42.44,9.38,95.01,6.65,-3.78,80.00,-2.53,1.46,47.63
2019-05-01 18:58:10.577815,3,No Car,No Car,No Car,Sedan,No Car,No Car,8.14,27.87,67.04,13.05,-0.35,25.82,55.56,48.21,9.50,27.58,57.44,60.51,20.63,9.11,-13.85,54.31,56.81,34.44,43.51,9.02,96.05,7.37,-5.57,80.69,-1.45,2.19,47.63
2019-05-01 18:58:19.666467,3,No Car,No Car,No Car,Sedan,No Car,No Car,9.20,27.15,66.02,13.75,-0.35,27.52,56.45,47.67,10.71,27.93,58.14,59.84,21.33,9.83,-12.83,54.31,58.24,35.13,42.97,10.28,95.87,8.81,-5.57,80.69,-2.71,1.28,47.81
2019-05-01 18:58:32.831425,3,No Car,No Car,No Car,Sedan,No Car,No Car,7.08,28.22,67.38,13.57,-0.18,25.99,55.20,47.85,9.85,27.40,58.67,60.01,23.27,9.65,-11.97,56.81,58.24,34.09,42.97,9.56,94.83,8.27,-6.11,79.82,-1.09,-0.73,48.68
2019-05-01 18:58:56.850427,3,No Car,No Car,No Car,Sedan,No Car,No Car,8.67,27.33,67.55,13.57,-1.95,26.33,55.74,48.03,10.71,28.80,58.32,61.02,22.74,9.47,-13.85,54.84,57.34,35.64,43.51,8.30,95.35,7.55,-5.39,80.52,-1.63,0.91,47.81
2019-05-01 18:59:04.887209,3,No Car,No Car,No Car,Sedan,No Car,No Car,9.55,27.87,67.73,14.81,0.71,25.48,56.99,47.49,10.54,26.53,58.84,60.85,20.80,9.65,-13.34,53.95,58.59,34.78,42.26,9.92,95.18,6.83,-3.60,80.86,-1.81,1.10,48.68
2019-05-01 18:59:12.922034,3,No Car,No Car,No Car,Sedan,No Car,No Car,7.25,27.69,67.55,12.87,0.88,25.99,56.45,47.32,10.37,27.75,58.32,60.01,21.33,9.11,-13.51,52.88,56.09,34.44,43.87,7.58,96.05,7.37,-4.50,80.34,-1.45,1.10,47.98
2019-05-01 18:59:20.961420,3,No Car,No Car,No Car,Sedan,No Car,No Car,8.31,28.05,67.21,12.34,-0.71,25.48,55.02,47.67,11.40,28.97,58.49,59.84,23.27,9.29,-14.71,53.95,57.52,35.47,42.97,9.20,95.18,8.99,-5.03,79.82,-1.99,0.55,48.16
